xVal	yVal	Value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
1	31	0
1	32	0
1	33	0
1	34	0
1	35	0
1	36	0
1	37	0
1	38	0
1	39	0
1	40	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	2
2	16	1
2	17	1
2	18	2
2	19	1
2	20	0
2	21	0
2	22	1
2	23	0
2	24	0
2	25	0
2	26	0
2	27	1
2	28	0
2	29	0
2	30	0
2	31	0
2	32	0
2	33	0
2	34	0
2	35	0
2	36	0
2	37	0
2	38	0
2	39	0
2	40	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	2
3	10	2
3	11	3
3	12	1
3	13	3
3	14	1
3	15	1
3	16	5
3	17	3
3	18	1
3	19	2
3	20	3
3	21	2
3	22	0
3	23	1
3	24	3
3	25	0
3	26	0
3	27	0
3	28	1
3	29	0
3	30	1
3	31	0
3	32	2
3	33	0
3	34	0
3	35	0
3	36	0
3	37	0
3	38	0
3	39	0
3	40	0
4	1	1
4	2	1
4	3	0
4	4	1
4	5	2
4	6	1
4	7	0
4	8	1
4	9	3
4	10	1
4	11	3
4	12	0
4	13	1
4	14	3
4	15	0
4	16	3
4	17	1
4	18	3
4	19	1
4	20	5
4	21	2
4	22	0
4	23	0
4	24	0
4	25	2
4	26	0
4	27	1
4	28	2
4	29	0
4	30	2
4	31	4
4	32	2
4	33	0
4	34	0
4	35	0
4	36	0
4	37	0
4	38	0
4	39	0
4	40	0
5	1	0
5	2	0
5	3	0
5	4	3
5	5	1
5	6	1
5	7	0
5	8	2
5	9	3
5	10	4
5	11	3
5	12	2
5	13	1
5	14	3
5	15	1
5	16	5
5	17	2
5	18	4
5	19	2
5	20	1
5	21	1
5	22	2
5	23	2
5	24	2
5	25	2
5	26	1
5	27	0
5	28	3
5	29	3
5	30	4
5	31	0
5	32	0
5	33	0
5	34	0
5	35	0
5	36	0
5	37	0
5	38	0
5	39	0
5	40	0
6	1	0
6	2	2
6	3	2
6	4	4
6	5	1
6	6	1
6	7	0
6	8	4
6	9	3
6	10	3
6	11	3
6	12	6
6	13	9
6	14	9
6	15	8
6	16	6
6	17	14
6	18	5
6	19	7
6	20	3
6	21	7
6	22	10
6	23	2
6	24	3
6	25	3
6	26	6
6	27	1
6	28	1
6	29	1
6	30	1
6	31	1
6	32	1
6	33	0
6	34	0
6	35	0
6	36	0
6	37	0
6	38	0
6	39	0
6	40	0
7	1	0
7	2	0
7	3	3
7	4	0
7	5	3
7	6	4
7	7	1
7	8	3
7	9	6
7	10	6
7	11	6
7	12	12
7	13	19
7	14	14
7	15	21
7	16	5
7	17	18
7	18	19
7	19	14
7	20	13
7	21	12
7	22	12
7	23	9
7	24	12
7	25	8
7	26	4
7	27	3
7	28	3
7	29	2
7	30	4
7	31	2
7	32	2
7	33	0
7	34	0
7	35	0
7	36	0
7	37	0
7	38	0
7	39	0
7	40	0
8	1	0
8	2	0
8	3	3
8	4	2
8	5	8
8	6	4
8	7	3
8	8	5
8	9	13
8	10	18
8	11	19
8	12	32
8	13	31
8	14	53
8	15	43
8	16	47
8	17	54
8	18	44
8	19	30
8	20	29
8	21	25
8	22	15
8	23	20
8	24	11
8	25	7
8	26	8
8	27	4
8	28	5
8	29	4
8	30	3
8	31	2
8	32	1
8	33	0
8	34	0
8	35	0
8	36	0
8	37	0
8	38	0
8	39	0
8	40	0
9	1	0
9	2	3
9	3	4
9	4	8
9	5	4
9	6	8
9	7	8
9	8	17
9	9	18
9	10	23
9	11	32
9	12	43
9	13	62
9	14	63
9	15	94
9	16	114
9	17	119
9	18	102
9	19	85
9	20	79
9	21	60
9	22	43
9	23	34
9	24	30
9	25	13
9	26	13
9	27	5
9	28	3
9	29	6
9	30	3
9	31	6
9	32	1
9	33	0
9	34	0
9	35	0
9	36	0
9	37	0
9	38	0
9	39	0
9	40	0
10	1	0
10	2	1
10	3	1
10	4	2
10	5	10
10	6	11
10	7	12
10	8	22
10	9	38
10	10	55
10	11	56
10	12	86
10	13	75
10	14	116
10	15	158
10	16	192
10	17	199
10	18	229
10	19	165
10	20	123
10	21	98
10	22	75
10	23	61
10	24	51
10	25	28
10	26	27
10	27	20
10	28	11
10	29	4
10	30	0
10	31	2
10	32	1
10	33	0
10	34	0
10	35	1
10	36	0
10	37	0
10	38	0
10	39	0
10	40	0
11	1	0
11	2	3
11	3	5
11	4	5
11	5	3
11	6	12
11	7	14
11	8	23
11	9	35
11	10	51
11	11	73
11	12	81
11	13	121
11	14	153
11	15	200
11	16	231
11	17	269
11	18	275
11	19	170
11	20	179
11	21	154
11	22	100
11	23	91
11	24	62
11	25	44
11	26	28
11	27	24
11	28	23
11	29	14
11	30	7
11	31	4
11	32	3
11	33	0
11	34	0
11	35	0
11	36	0
11	37	0
11	38	0
11	39	0
11	40	0
12	1	0
12	2	3
12	3	5
12	4	8
12	5	10
12	6	8
12	7	14
12	8	30
12	9	51
12	10	76
12	11	82
12	12	112
12	13	144
12	14	171
12	15	248
12	16	303
12	17	282
12	18	345
12	19	273
12	20	233
12	21	178
12	22	140
12	23	108
12	24	82
12	25	53
12	26	34
12	27	37
12	28	17
12	29	13
12	30	6
12	31	7
12	32	1
12	33	0
12	34	0
12	35	0
12	36	0
12	37	0
12	38	0
12	39	0
12	40	0
13	1	0
13	2	2
13	3	7
13	4	8
13	5	4
13	6	11
13	7	8
13	8	32
13	9	46
13	10	71
13	11	90
13	12	115
13	13	162
13	14	199
13	15	233
13	16	303
13	17	252
13	18	340
13	19	291
13	20	260
13	21	201
13	22	164
13	23	126
13	24	95
13	25	57
13	26	46
13	27	30
13	28	16
13	29	10
13	30	7
13	31	10
13	32	2
13	33	0
13	34	0
13	35	0
13	36	0
13	37	1
13	38	0
13	39	0
13	40	0
14	1	0
14	2	5
14	3	14
14	4	10
14	5	16
14	6	8
14	7	9
14	8	22
14	9	38
14	10	53
14	11	91
14	12	124
14	13	128
14	14	152
14	15	221
14	16	244
14	17	273
14	18	243
14	19	236
14	20	222
14	21	165
14	22	147
14	23	142
14	24	92
14	25	62
14	26	42
14	27	21
14	28	14
14	29	11
14	30	10
14	31	11
14	32	5
14	33	2
14	34	0
14	35	0
14	36	0
14	37	0
14	38	0
14	39	0
14	40	0
15	1	0
15	2	4
15	3	6
15	4	4
15	5	12
15	6	11
15	7	15
15	8	24
15	9	36
15	10	52
15	11	68
15	12	108
15	13	124
15	14	165
15	15	192
15	16	192
15	17	254
15	18	254
15	19	275
15	20	238
15	21	195
15	22	188
15	23	128
15	24	86
15	25	55
15	26	46
15	27	25
15	28	12
15	29	10
15	30	6
15	31	10
15	32	1
15	33	1
15	34	0
15	35	1
15	36	0
15	37	0
15	38	0
15	39	0
15	40	0
16	1	0
16	2	5
16	3	6
16	4	5
16	5	15
16	6	11
16	7	16
16	8	23
16	9	19
16	10	42
16	11	54
16	12	74
16	13	86
16	14	135
16	15	137
16	16	150
16	17	245
16	18	229
16	19	218
16	20	229
16	21	177
16	22	131
16	23	97
16	24	74
16	25	48
16	26	29
16	27	17
16	28	13
16	29	15
16	30	5
16	31	10
16	32	7
16	33	0
16	34	0
16	35	0
16	36	0
16	37	0
16	38	2
16	39	0
16	40	0
17	1	0
17	2	3
17	3	6
17	4	15
17	5	11
17	6	11
17	7	17
17	8	15
17	9	31
17	10	23
17	11	54
17	12	85
17	13	78
17	14	94
17	15	121
17	16	115
17	17	189
17	18	223
17	19	242
17	20	246
17	21	203
17	22	136
17	23	107
17	24	85
17	25	49
17	26	44
17	27	20
17	28	15
17	29	17
17	30	8
17	31	11
17	32	3
17	33	0
17	34	0
17	35	0
17	36	1
17	37	1
17	38	1
17	39	1
17	40	0
18	1	0
18	2	3
18	3	15
18	4	11
18	5	16
18	6	14
18	7	14
18	8	15
18	9	17
18	10	34
18	11	62
18	12	68
18	13	51
18	14	84
18	15	130
18	16	142
18	17	173
18	18	236
18	19	294
18	20	259
18	21	176
18	22	154
18	23	104
18	24	77
18	25	55
18	26	39
18	27	17
18	28	22
18	29	12
18	30	3
18	31	10
18	32	3
18	33	0
18	34	2
18	35	0
18	36	1
18	37	0
18	38	0
18	39	1
18	40	0
19	1	0
19	2	2
19	3	17
19	4	14
19	5	12
19	6	17
19	7	12
19	8	8
19	9	27
19	10	27
19	11	35
19	12	51
19	13	45
19	14	66
19	15	80
19	16	86
19	17	125
19	18	191
19	19	221
19	20	204
19	21	163
19	22	117
19	23	92
19	24	56
19	25	53
19	26	21
19	27	27
19	28	14
19	29	11
19	30	8
19	31	6
19	32	1
19	33	0
19	34	4
19	35	2
19	36	0
19	37	0
19	38	0
19	39	0
19	40	0
20	1	0
20	2	2
20	3	14
20	4	9
20	5	8
20	6	10
20	7	7
20	8	18
20	9	25
20	10	17
20	11	24
20	12	31
20	13	34
20	14	50
20	15	57
20	16	75
20	17	143
20	18	230
20	19	261
20	20	260
20	21	239
20	22	159
20	23	98
20	24	85
20	25	52
20	26	32
20	27	36
20	28	19
20	29	11
20	30	10
20	31	8
20	32	4
20	33	1
20	34	0
20	35	1
20	36	1
20	37	0
20	38	0
20	39	0
20	40	1
21	1	0
21	2	1
21	3	6
21	4	9
21	5	9
21	6	7
21	7	9
21	8	7
21	9	26
21	10	10
21	11	20
21	12	38
21	13	25
21	14	35
21	15	45
21	16	35
21	17	103
21	18	129
21	19	157
21	20	146
21	21	141
21	22	91
21	23	74
21	24	52
21	25	38
21	26	26
21	27	17
21	28	13
21	29	9
21	30	9
21	31	8
21	32	2
21	33	1
21	34	0
21	35	1
21	36	0
21	37	1
21	38	0
21	39	0
21	40	0
22	1	0
22	2	2
22	3	9
22	4	8
22	5	12
22	6	17
22	7	8
22	8	16
22	9	9
22	10	13
22	11	24
22	12	14
22	13	19
22	14	30
22	15	23
22	16	37
22	17	44
22	18	79
22	19	114
22	20	105
22	21	91
22	22	72
22	23	51
22	24	38
22	25	25
22	26	13
22	27	14
22	28	14
22	29	14
22	30	10
22	31	7
22	32	1
22	33	1
22	34	1
22	35	0
22	36	1
22	37	0
22	38	1
22	39	0
22	40	0
23	1	0
23	2	4
23	3	1
23	4	9
23	5	5
